좋은 친구부터,나 요즘 그림 그리는 데 푹 빠졌어~
,> 첫인상은 겉모습이 가장 중요하니까 내 개성을 잘 살리면서도 트렌드에 맞는 옷을 고르고 있지! 그런데 새로 산 옷을 입고 나갔더니 하필 나뭇가지에 걸려서 커다란 구멍이 났지 뭐니 구멍 뚫린 디자인이 유행할 때까지 서랍 안에 모셔둬야겠어~
,> 내 코디 포인트는 '개성'과 '자연스러움'이야! 너무 과하지 않으면서 날 표현할 수 있는 옷을 골라야지! 하지만 너무 거기에 매달리다 보면 자칫 '얼뜨기'처럼 보이기 쉬우니까 늘 조심해야 해!
,"> 자신을 우아해 보이게, 또는 멋있어 보이게 만드는 것도 전부 복장에 달려 있기 마련이야! 그래서 나는 새로운 나를 발견하기 위해서 다양한 코디법을 연구하고 있어! 언젠간 나만의 브랜드를 만들게 될 날을 꿈꾸고 있지~!"
,
,고민이 많을 때면 혼자만의 시간이 갖고 싶어지지 않니? 그래서 얼마 전에 큰맘 먹고 혼자서 여행을 다녀왔어~ 여행지에서 느긋하게 온천도 하고 고급 전신미용까지 받았더니 고민이 싹 사라지더라~
,> 얼마 전에 혼자서 볼링을 치러 다녀왔거든? 스트라이크를 연발해서 점수도 나쁘지 않았어~ 순서를 기다릴 새도 없이 혼자서 계속 공을 굴렸더니 왠지 좀 허무하기도 했지만
,> 기분이 울적할 때면 혼자만의 시간을 가지고 싶어지지 않니? 그래서 나 혼자서 노래방에 갔다왔어! 크게 소리를 지르면서 노래를 불렀는데 문이 살짝 열려 있었는지 사람들이 다 들었대
,> 요즘은 자유롭게 행동하는 '혼자 놀기'가 유행이라면서~? 나도 혼자서 영화 보러 가볼 생각인데 혹시 괜찮으면 같이 가겠어? 아차! xx를 부르면 혼자서 보는 게 아니구나!
,
,얼마 전에 동창회에 다녀왔어~ 오랜만에 보는 친구도 있어서 정말 반가운 거 있지!
,"> 친구 중에 티컵 모으는 게 취미인 애가 있었는데 지금은 글쎄, 도예가가 됐다는 거야! '좋아하면 잘하게 된다'는 건 이런 걸 말하는 걸까?"
,> 친구 중에 공책에 낙서하는 걸 엄청 좋아하는 애가 있었는데 지금은 만화가가 됐대! '좋아하면 잘하게 된다'더니 정말 맞는 말인가 봐~
,> 친구 중에 콧노래를 혼자 만들어서 흥얼거리던 애가 있었는데 지금은 작곡가가 되었다지 뭐니! '좋아하면 잘하게 된다'더니 이게 딱 그 상황 아니니?!
,
,"아아, 생각나네~ 내가 배우였던 시절 이제 무대에는 더 이상 서지 않지만 방에 걸린 전구를 보고 있으면 그 화려했던 스포트라이트가 그리워지고는 해~"
,"후우, 가끔씩 떠올라~ 내가 모델이었던 시절 말야! 그땐 런웨이를 따라 걷는 게 인생을 올바르게 사는 거라고 생각했는데 만약 인생이 런웨이처럼 외길이라면 시시하지 않을까?"
,"우후후, 생각난다~ 내가 샹송 가수였던 시절 모두에게 내 노랫소리를 들려주면서 계속 내가 있을 곳을 찾아 헤맸지 그래도 지금 내겐 멋진 보금자리가 있으니까 슬픈 노래는 안 부를 거야"
,
,그나저나 xx는 셀카 찍는 거 좋아해?
,"> 나는 셀카보다는 일류 카메라맨의 모델이 되고 싶네~ 뭐, 당신이 찍어준다면 언제든 대환영이야!"
,"> 나도 시도는 해봤는데 왜인지 입 주변에 그림자가 지는 거 있지? 아이참, 도대체 이유가 뭘까?!"
,"> 우후후, 당신이 찍은 인생샷 한번 보고 싶다"
베스트 프렌드 타입 B,요즘 나 있지 건강을 위해서 운동을 시작했어!
,> '코러스 운동' 이라고 들어본 적 있니? 큰 소리로 노래를 부르면 배에 자극이 가서 복근을 단련시킬 수 있대! 근데 욕실에서 노래를 했더니 이웃집까지 들렸던 모양이라 좀 부끄럽더라
,> 얼마 전에 TV에서 나오던 '쇼핑 운동'은 정말이지 눈이 확 트이더라니까! 장 보러 가서 카트를 끌지 말고 꼭 장바구니를 들고 다니면 어느샌가 팔이 단련된다는 거야! 쇼핑을 하면서 운동을 할 수 있다니 나한테 딱 맞는 운동이야!
,"> 친구한테 들은 건데, '리액션 운동'이라고 당신한테도 가르쳐줄게! 그럼 시작한다 앗! <아하하! < 그럴 수가! <엣헴! <후~ 뭐 이 정도랄까? 얼굴 근육 운동이라고 들었는데 의외로 몸도 지치네"
,
,얼마 전에 쇼핑 갔다가 엄청 좋은 걸 얻었어!
,> 내가 계속 찾던 xx를 원래 가격보다 엄청 싸게 샀거든! 싸게 잘 사서 다행이긴 한데 둘 만한 공간이 없어서 아직 포장도 못 뜯었지 뭐니
,> 계속 눈독 들이던 원피스를 드디어 샀거든! 안 입게 된 옷을 팔러 갔는데 마침 갖고 싶었던 옷이랑 딱 마주친 거야 그 운명적인 만남에 지갑도 열렸지 뭐~!
,> 계속 xx를 갖고 싶었는데 정말 싼 값에 샀어! 난 '2개에 ○○○벨'이라는 소리에 약해서 괜히 많이 사고 만다니까~ 그 덕에 집에 안 쓰는 물건들이 자꾸 쌓여서 문제야!
,
,지금 마침 남모를 즐거움에 대해서 생각 중이었어!
,"> 욕실에 들어갈 때 아로마 바스젤을 사용하면 얼마나 좋은 향이 나는지 아니~? 아, 얼마 전에는 진짜 장미 꽃잎을 있는 대로 욕조에 띄워봤어! 바스젤보다 이득인 데다 부자가 된 기분도 만끽할 수 있으니까 당신도 한번 해봐!"
,> 옷이나 가구를 샀다 치고 저금하는 거야! 이른바 '산 척 저금'이라고나 할까? 생각보다 돈이 쑥쑥 모이니까 당신에게도 추천할게! 근데 지금까지 쓸데없이 돈을 많이 썼다는 것도 알게 돼서 마음이 복잡해
,> 난 쇼핑을 좋아하잖아? 갖고 싶은 옷을 고르는 순간은 사실 스트레스를 발산 중인 셈이지! 그런데 얼마 전에 새로 산 옷을 집에서 입어봤더니 별로 안 어울리는 거 있지? 가게에서 시착했을 때는 기분이 좋은 상태라서 뭐든지 다 괜찮아 보이는 걸까?
,
,"매일 열심히 집안일을 하다 보면 손을 놓고 싶은 날도 있잖아? 그러니까 예를 들면 장 보러 갔을 때 까먹으면 안 될 물품을 손에다가 직접 메모하는 일이 많거든~ 그것도 유성펜으로 말야 씻어도 잘 지워지질 않아서 자꾸 위에 덧쓰다 보니까 읽기가 힘들어져서 곤란해, ~"
,나는 갑작스런 쇼핑에 대비해서 항상 에코백을 가지고 다녀! 근데 에코백이 있으니까 무심코 안심이 돼서 잔뜩 사버려~ 이래서는 전혀 에코가 아닌데
,매일 부지런히 집안일을 하다 보면 손을 놓고 싶은 날도 있지 않니? 예를 들면 그러니까 요리를 할 때도 그래! 뭘 먹을지 매일 고민되지 않니? 그래서 난 도저히 생각이 안 나면 고민은 관두고 바로 사다리를 그려!
,
,"기쁜 일이 있었던 날엔 나, 꼭 하는 일이 있어!"
,> 길가에 나 있는 잡초를 뽑은 다음에 집에 가는 거야! 왠지 기쁜 일이 있으면 그 마음을 다른 누군가한테도 선물하고 싶지 않니? 자랑은 하지 않으면서 행복을 나누는 방법! 나름대로 고안해봤어~
,> 항상 블랙으로 마시는 커피에 각설탕을 넣는 거야! 달콤한 커피를 마시고 있으면 특별해진 기분이 들거든~ 커피와 함께 기뻤던 일을 다시 떠올리면서 행복을 다시 맛보는 거야!
,> 기뻤던 일을 종이에 써서 작게 접은 다음에 병에 넣는 거야! 행복은 원래 안 보이지만 이렇게 하면 확실히 눈에 보이잖아? 아무리 힘든 일이 생겨도 그 병을 보면 기운이 막 솟는다니까~
,
,"맞아, 나 요즘 메시지 카드를 정리하고 있어"
,> 카드를 다시 읽고 있으니까 시간이 금방 가더라 그래서 그런지 좀 수면 부족이야~
,> xx의 메시지 카드는 잘 보관할 테니까 많이 보내줘!
,> 카드의 배경 무늬만 봐도 너무 재밌던걸? 계절마다 바뀌는 기간 한정 카드도 정말 멋지고~
