좋은 친구부터,궁금한 게 있는데 넌 단 음식 잘 먹냐? 난 어릴 적부터 단걸 싫어해서 먹어본 적이 별로 없어,,
,"> 자전거는 안장을 확 낮추고 핸들을 확 올려서는 만세하는 자세로 타고 다녔다니까 팔은 뻐근하지, 페달은 밟기 힘들지 걷는 것만도 못했어!",,
,,,
,"헤헷 아니 방금 말이야, 어렸을 때 하던 놀이가 갑자기 생각나서",,
,> 술래잡기 알지? 난 술래가 된 적도 거의 없고 항상 제일 마지막에 잡혔거든! 너무 이상하다는 생각을 하다가 나중에 알게 된 사실인데 내가 술래가 되면 진짜 무섭게 잡아서 나한테 술래를 시키지 말자는 규칙이 있었던 모양이야!,,
,> 소꿉놀이 알지? 난 늘 엄마에게 혼나는 아빠 역할이었어! 한 번이라도 아기 역할을 맡아서 옳지 착하다 하고 엄마가 쓰다듬어 주는 손길을 느껴보고 싶었다고,,
,> 단체 줄넘기 알지? 난 늘 들어가기만 하면 걸려서 줄 돌리는 역할만 맡았거든 붕붕 붕붕 하염없이 줄만 돌렸더니 어깨가 이렇게 우람해졌다니까!,,
,,,
,난 사진발이 너무 안 좋아! 어떻게 하면 인상 좋게 나오는 거야?,,
,"> 난, 카메라만 보면 나도 모르게 힘이 들어가서 노려보게 되더라구! 차라리 너랑 얘기하는 모습을 찍으면 호감형으로 나올지도 몰라!",,
,> 자연스러운 포즈 를 취하라고들 하는데 애초에 포즈를 취한다는 것 자체가 자연스럽지 못한 행동 아니냐?! 역시 팔짱을 끼고 강렬한 눈빛으로 쳐다보는 게 세보이고 좋지 않나?,,
,,,
,"난 별이 가득한 하늘을 보면 그게 생각난단 말이지 그 왜, 그거 있잖아",,
,"> 야경! 뭐, 흔해빠진 얘기지만 고향 친구랑 등산했을 때 본 야경이 진짜로 엄청 아름다웠거든~ 이 섬은 야경이라고 할 만한 건 없지만 밤하늘의 별이 참 아름다워 뭐, 어쨌거나 즐거우면 됐지!",,
,"> 별사탕! 작고 동그랗고 뾰족뾰족하고 그치? 비슷하지 않냐?! 그러고 보니, 내 어릴 적 사진 중에 잠자리채를 들고 별을 보고 있는 게 있었는데 설마 그때부터 그 생각을 했나?",,
,"> 밥그릇에 묻은 밥풀! 까만 밥그릇에 하얀 밥풀이 군데군데 그러고 보니, 밥풀 하니까 생각났는데 내가 맨날 사고를 치고 다녀도 아무 말 않던 우리 할머니 밥풀 남기는 것만큼은 호랑이처럼 화를 내셨었지",,
베스트 프렌드 타입 B,너 분재에 관심 있냐? 난 좋아하는데! 내 인생의 동반자라고도 할 수 있지! 근데 말이지 아직도 공부할 게 산더미라서 초짜 신세를 벗어날 수가 없어!,,
,> 음 분재는 화분 밑에 뚫린 구멍을 이용해서 나무를 고정하는데 그거 알아? 나무를 단단히 고정하는 게 가장 중요해! 그래야 수분과 영양을 잘 흡수할 수 있지! 단단히 발을 디디는 게 중요한 건 동물이나 식물이나 마찬가지라고!,,
,"> 음 분재에 물을 주려면 아침 일찍 주는 게 좋다는 사실, 알아? 낮에 주는 것보다 더 잘 자라거든! 참고로 나도 아침 목욕을 좋아해! 상쾌한 기분으로 하루를 시작할 수 있으니까!",,
,"> 음 분재가 커지면 화분을 바꿔줘야 한다는 사실, 알아? 작아진 화분에 그대로 두면 뿌리가 썩어서 시들어버린다고! 나만 해도, 작은 집보다는 편하게 두 다리를 뻗을 수 있는 큰 집을 좋아해!",,
,,,
,"너, 자기 소지품에 애착은 갖고 있냐? 잔소리처럼 느껴질지도 모르겠지만 귀담아서 잘 들어봐!",,
,> 사물을 소중히 한다는 건 그냥 갖고만 있어서 되는 일이 아냐! 정성스럽게 아끼는 마음가짐이 있어야 하는 거지! 그렇지 못한 녀석들은 사람을 상대로도 배려할 줄 모르는 녀석들이라고 생각해!,,
,> 물건을 다루는 방식을 보면 그 사람의 내면을 알 수가 있어! 물건을 조심조심 쓰다 보면 평소에도 말이나 행동이 부드러워지기 마련이야!,,
,> 사물에도 영혼이 깃든다 이런 얘기 들어본 적 있냐? 난 필요 없어졌다고 쉽게 물건을 버리는 건 좋지 못한 행동이라고 생각해! 리폼해서 새것처럼 만들 수도 있잖아? 도전 정신이 샘솟지 않냐?,,
,,,
,너도 그렇겠지만 누구든 보물로 여기는 물건이 하나쯤은 있을 거야!,,
,> 내 보물은 역시 뭐니 뭐니 해도 메시지 카드지! 보낸 사람이 누구든 상관없어! 상대방의 솔직한 마음이 느껴져서 기쁘거든! 옛날에 받은 것들은 너무 오래돼서 너덜너덜해졌지만 그래도 버릴 수가 없더라고!,,
,> 내 보물은 어렸을 때 강가에서 주운 돌이야! 반짝반짝 매끈매끈 그땐 진짜 보석이라고 믿었을 정도라니까! 지금도 상자에 넣어서 소중히 보관하고 있지! 가끔 꺼내서 구경하곤 해!,,
,> 내 보물은 어릴 적 아빠가 주신 낡은 라디오야! 다이얼을 돌리면 잡음과 함께 낯선 음악이나 말소리가 들리는데 들을 때마다 가슴이 뛰곤 했어!,,
,,,
,있잖아 요즘 여자들의 패션이란 대체 뭘까,,
,> 가끔 보이는 옷 중에 셔츠나 치마에 팔랑거리는 게 가득 붙어 있는 경우가 있거든? 그거는 하나하나 다리미로 다릴 수나 있는 건지 원내 셔츠는 주름이 가지 않는 재질이라 다릴 필요가 없지만!,,
,> 가끔 보이던데 끈 달린 부츠 있잖냐? 그거 신으려면 한참을 묶어야 할 텐데 나 같으면 신발을 신다가 지쳐서 외출을 포기할지도 몰라!,,
,"> 가끔 보이던데 엄청 챙이 넓은 모자 있잖냐? 그거, 햇볕은 잘 막아주겠지만 앞이 제대로 보이긴 할까? 게다가 가까이 가면 부딪힐 것 같아서 좀 무섭단 말이지",,
,,,
,인생은 한 번뿐이잖냐! 그래서 나는 내 인생의 모토로 삼고 있는 게 있어!,,
,"> 음, 한마디로 표현하면 '솔직하게 살자! 거짓말은 절대 하지 않는다! 내 마음을 솔직하게 받아들인다!' 쉬워 보이지만 의외로 지키기 힘들 때가 있다니까!",,
,"> 음, 한마디로 표현하면 '모든 일에 최선을 다한다! 내가 할 수 있는 일을 열심히 한다! 후회는 하지 않는다!' 어때? 멋지지 않냐? 근데 조금만 긴장을 늦추면 나도 모르게 빈둥대게 되더라고!",,
,"> 음, 한마디로 표현하면 '중간에 포기하지 않는다! 결심한 건 끝까지 한다! 실패해도 포기하지 않는다!' 어때? 멋지지 않냐? 계속 뜻대로 풀리지 않으면 기운이 빠질 때도 있지만 말야!",,
,,,
,"예전에, 내가 DIY를 갓 시작한 초심자였을 때는 여러 해프닝이 있었어",,
,"> 시간 때울 겸 시작한 건데 문득 정신을 차려보니까 밖이 캄캄해져 있더라 하루 종일 먹지도 마시지도 않고 몰두했던 거야 그땐 정말, 젊었으니 별일 없었던 거지 지금 그러면 잠깐 하고 뻗을걸? 서서 일하면 허리가 아파서 말이야",,
,"> 분명 레시피대로 만들었는데 어디서 뭘 어떻게 틀린 건지 뭔 요상한 게 만들어져서는 근데 또 가족들이 엄청 웃는 건 기분 나쁘더라! 이게 제대로 된 거야! 라고 큰소리치고선 오기로 장식해뒀었지,",,
,"> 한 손으로 망치를 땅땅 두들기다가 무심코 손가락을 찧어 버린 거야! 너무 아파서 망치를 손에서 놓쳤어 그랬더니, 떨어진 망치가 이번엔 또 발에! 엎친 데 덮친 격이라는 게 이런 거구나 싶더라고 헤헷, 콩트 같지 않냐?",,
