,내가 업계에 있었을 땐 일손이 엄청 부족했단 말이지! 그래도 이왕 무언가를 만든다면 최대한 높은 퀄리티를 추구하는 게 프로의 마음가짐이라고 생각해
,> 드라마 촬영을 하던 때는 엑스트라를 확보하는 게 보통 힘든 일이 아니었어 어시스턴트였던 나까지 엑스트라로 살짝 참여한 적이 있었는데 너무 오버 액션을 했는지 몇 번이나 NG를 냈지 뭐야~! 하핫~!
,> 버라이어티 방송을 촬영하던 때는 내가 스케치북 대본을 썼었는데 악필이라서 읽기가 어려웠대 나중에 방송으로 확인해봤더니 출연자들이 죄다 실눈을 뜨고 있었지 뭐야! 하핫~!
,> 뉴스를 제작하던 때는 내 주변에서 무슨 일이 일어나진 않을지 항상 촉각을 곤두세우고 있었어! 그렇지만 무작정 쫓아다닌다고 얻을 수 있는 건 아니더라구 특종도 꿈도 말이야
,
,"지나간 일을 떠올려 보면 말이지, 내가 했던 선택은 틀리지 않았다고 생각될 때가 많아"
,"> 어릴 적, 나는 xx를 싫어했어 하지만 엄마의 설득으로 눈을 딱 감고 그걸 입에 넣었지, 떼를 쓰면 먹지 않아도 됐을 거야 하지만 나는 먹기를 선택했어 그리고 지금은 정말 좋아하는 음식이야!"
,"> 어릴 적, 부모님이 데려가 주셨던 뮤직 스테이지에서 xx를 들었던 게 내 인생의 전환점이 된 것 같아 그 후로 음악에 흥미가 생겨서 온라인 강좌로 기타를 배우기도 했었지"
,> 수많은 책들 중에서 고민 끝에 골랐던 xx를 읽고 나서 내 가치관이 완전히 바뀌었어
,"> 어릴 적, 소꿉친구의 권유로 시작한 xx는 내 인생관에 아주 큰 영향을 주었지"
,"> 어릴 적, 그랜마더가 갖고 싶은 걸 사주신다고 하셔서 나는 뭐가 갖고 싶은지 생각했어, 그 결과 한 가지 해답에 이르렀지 그게 바로 나와 xx의 만남이야"
,"> 스스로 결단을 내리고, 인생을 개척해 왔기에 지금의 내가 있는 게 아니겠어? 그 결과가 어떻든 말이야"
베스트 프렌드 타입 B,사랑하는 사람을 '베이비'라고 부르기도 하지만
,> 나는 '마이 허니'라고 부르기로 결심했어 벌꿀처럼 달콤하고 매우 사랑스럽다는 의미라구! 그런데 벌은 침을 가지고 있으니까 화나게 하면 큰일이 나겠군 그렇지? 마이 허니?
,> 나는 '마이 프린세스'라고 부르기로 결심했지~ 공주님을 대하듯이 소중하게 대하겠다는 의미가 있어! 그렇지만 공주님은 높은 사람이니까 기분을 상하게 하면 큰일이 나겠지? 그렇지? 마이 프린세스?
,> 나는 '마이 엔젤'이라고 부르기로 결심했어~ 지상에 내려온 천사처럼 아름답다는 의미가 있어! 그치만 천사에겐 날개가 있으니까 심기를 거스르면 어딘가로 날아가버릴지도 몰라 그렇지? 마이 엔젤?
,
,난 만약 데이트를 하게 된다면 상대를 즐겁게 해주기 위해서 최선을 다할 거야! 참고로 xx군/양이랑 데이트를 한다면
,> 함께 가슴 뛰는 체험을 할 수 있는 놀이공원이 좋으려나? 놀이 기구를 타면 그대와 나의 거리도 좁혀지고 서로의 심리적 거리도 하핫~! 그대도 꽤나 대담한걸~!
,"> 분위기 있는 조명이 비치는 수족관이 좋으려나? 이왕 데이트를 한다면 서프라이즈 이벤트도 준비해볼까? 예를 들어 인어 옷을 입은 내가 수조 안에서 나타난다든지 후후훗~ 앗, 말해버리면 서프라이즈가 아닌데! 하핫~!"
,> 꿈과 감동을 공유할 수 있는 영화관이 좋으려나? 둘이 팝콘 하나를 나눠먹으면 서로의 거리도 자연스레 하핫~! 먹는 데 너무 집중해서 영화 시작 전에 다 먹어버리지 않도록 조심해야겠어!
,
,난 말이지 평범한 대사를 멋있게 말할 수 있어야 진짜 배우라고 생각해!
,> 예를 들면 '화장실 다녀올게' 같은 말!
,> 예를 들어 '밥이 맛있군' 이런 대사!
,> 예를 들어 '한 그릇 더!' 같은 대사!
,> 예를 들면 '머리 스타일 바꿨어?' 같은 말!
,> 예를 들어 '점심 먹었어?' 이런 말!
,> > 사실 진심이 담겨 있다면 대사 내용은 중요하지 않지만 말이야
,
,"요즘 들어 가슴이 두근거려서 자꾸 밤잠을 설친다구 후후후, 바로 이런 게 사랑일까?"
,> 앗! 안 돼! 지금도 그대의 눈동자에 빨려들어갈 뻔했어
,> 응? 상대가 누군지 궁금해? 그건 그대 상상에 맡기겠어!
,> 어쩌면 내 베개가 나와 안 맞는 것 일지도 모르지만
,
,"나도 아직 확신은 없지만 이렇게 가슴이 두근거리는 건 그대와 이야기할 때뿐이라구, 응? 아무한테나 하는 말 아니냐고? 그런 거 아니라니깐, 하핫~!"
,
,그 아이돌이랑 어떤 관계냐구? 난 사생활은 공개하지 않는 편이야~!
,기자 회견? 그런 건 소속사에 문의해주겠어~?
,그 유명 배우와 난 열애설? 으음 그저 친한 동료라구~!
,"> 이런 말, 한 번이라도 좋으니까 해보고 싶은걸"
,"> > 후후후, 말해보는 것뿐이니까 누구한테 민폐 끼칠 일도 없잖아? 하핫~!"
,"> > 후후후, 말은 해볼 수 있잖아? 누가 상처받는 일도 아닌데? 하핫~!"
,"> > 후후후, 걱정 말라구! 난 그런 스캔들을 낸 적이 없으니까!"
,
,"사람들은 말이지, 의외로 꽤 나한테 연애 상담을 많이 해 그러면 나는"
,"> 이번 일은 유감이지만, 그대는 상처받은 만큼 상냥함도 배웠지 분명 또 멋진 만남이 기다리고 있을 거야"
,> 때로는 고민도 필요하겠지 세상에 그치지 않는 비는 없다고 하잖아 그대의 마음에도 언젠가 무지개가 뜰 거야
,> 그대는 최선을 다했어 전부 잊고 일단 지금은 편히 쉬자구 시간이 마음을 낫게 해줄 때까지
,"> 사랑은 다른 사랑으로 지워진다고 하잖아? 자자, 고개를 들어! 다음 만남이 그대를 기다리고 있어!"
,> 그대의 매력을 깨닫지 못하다니 더 멋진 사람이 되어서 놀래켜 주자! 그대는 지금보다 더 빛날 수 있을 거야
,이런 어드바이스를 해줬지 나 자신에게 하는 말이기도 했고 말이야 하핫~!
