좋은 친구부터,"트레이닝도 말이지, 무작정 운동만 하면 되는 게 아니라구! 지금부터 내가 xx류 트레이닝을 가르쳐줄게!",,
,선택지,상완이두근,"오오! 정답이야! 너 뭘 좀 아는구나-?! 나무에 열린 xx를 딸 때는 두식이가 열심히 힘을 쓴다구- 아 미안, 깜빡했다- 나는 그 근육을 두식이라고 부르거든- 두식이 녀석이 제 힘을 발휘하면 에서 나는 모든 xx가 다 없어질지도 몰라"
,,상완삼두근,"어떻게 알았냐?! 너, 무지하게 똑똑하네! 삽으로 구멍을 팔 때는 삼식이가 열심히 일해준다구- 아 미안 미안- 내가 그 부위의 근육을 삼식이라고 불러서 말야! 삼식이 컨디션이 좋으면 함정에 빠져도 금방 빠져나올 수 있어! 굉장하지 않냐?"
,,대퇴사두근,"엥? 어떻게 알았냐?! 보면 알 수 있을 정도로 울끈불끈해졌다는 소린가? 산책을 할 때는 항상 사식이랑 함께인 셈이니까~아 미안, 설명 안 했나? 내가 그 주변의 근육을 사식이라고 불러서 말야- 사식이와 나의 노력이 열매를 맺은 것 같아서 기쁘다-!"
,,대퇴이두근,"오! 용케 맞혔네! 보면 알 수 있을 정도로 성과가 나타났나 봐! 요즘 이돌이 녀석, 함께 달리느라 고생이 많았는데아 미안 미안- 나는 이 근육을 이돌이라고 불러! 달리는 스포츠에서 활약하는 근육이지! 어쨌든 이돌이와 나의 노력이 결실을 맺어서 진짜 행복하다-!"
,,하퇴삼두근,"바로 그거야! 우리의 트레이닝 성과가 드디어 나타나기 시작했다구! 삼돌이 녀석, 쪼그만 게 힘든 트레이닝을 잘 견뎌냈으니까 말야아 미안, 말 안 했지? 나는 그 주변의 근육을 삼돌이라고 부르거든- 발목을 움직이는 건 거의 삼돌이의 일이지- 대부분의 운동선수들이 삼돌이의 도움을 받고 있다구!"
,,,
,"사실 말이지, 트레이닝도 알고 보면 심오해!",,
,> 부위를 바꿔 가면서 매일 트레이닝을 하면 몸 어딘가는 분명히 근육통에 시달리니까 정신적으로도 단단해지거든! 그 통증마저 기분 좋게 느껴지면 너도 내 동지가 되는 거야!,,
,> 항상 무리하지 않도록 자신의 근육과 대화를 나누면서 그날의 루틴을 정해야 해! 근육은 말을 하지 않으니까 내가 먼저 그 피로를 눈치채주는 게 포인트라구! 그러니까 결국 트레이닝에는 커뮤니케이션 기술도 필요하단 말씀이야!,,
,"> 트레이닝으로 근육이 붙으면 나 스스로에게 자신감이 생기고 그리고 어떤 일을 하더라도 긍정적으로 생각할 수 있게 된다구! 즉, 인생살이의 비결이 전부 트레이닝 속에 숨겨져 있는 거나 다름없다!",,
,,,
,"사실 나, 커서 운동선수가 될지 히어로가 될지 아직도 고민 중이야-",,
,"> 생각해 봐, 나는 이 xx의 인기인이잖아? 히어로가 되면 금방 정체가 들통날 테니까 역시 운동선수가 좋을 것 같아!",,
,> 생각해 봐! 내가 운동을 엄청 잘하잖아? 여러 종목에서 날 스카우트하려고 하면 정하는 게 엄청 힘들 거 아냐! 역시 히어로가 좋겠다-!,,
,> 어라? 운동선수가 되어서 히어로 인터뷰를 하면 둘 다 해결이네! 좋았어-! 내 장래 희망은 이걸로 결정이다-!,,
베스트 프렌드 타입 B,만약 내가 프로 운동선수가 된다면 어떤 종목이 맞을지 고민해봤어-!,,
,> 예를 들어 축구는 왠지 나도 멋지게 활약할 수 있을 것 같아! 사이드에서 공을 드리블한 다음에 그대로 슛을 날려서 골-인! 그리고 유니폼을 벗어서 복근을 보여주는 세리머니를 할 거야! 틀림없이 분위기 대박이겠지~!,,
,> 만약 야구라면 왠지 내가 엄청난 활약을 할 것 같지 않냐? 관객석의 뜨거운 응원에 힘입어서 구장 밖으로 날아가버릴 정도의 홈런을 따-악! 날려주는 거야! 그리고 세리머니를 할 때 유니폼을 벗어서 복근을 보여주면! 열광의 도가니가 될 거야~!,,
,> 만약 농구를 한다면 내가 왠지 스타 플레이어가 될 것 같지 않냐? 패배가 코앞으로 다가왔을 때 역전 3점 슛을 성공시키는 거지! 점수가 올라가면 나는 유니폼을 벗고 복근을 보여주는 세리머니를 하겠어! 환호성이 터져 나올 거라구~!,,
,,,
,xx류 스포츠 공학을 베이스로 만든 옷은 어떤 건지 생각 좀 해봤어! 이것저것 고민했는데 울끈불끈한 근육을 그린 티셔츠라는 결론에 도달했다! 입기만 해도 누구든지 근육질 몸매를 가질 수 있게 된다니 꿈만 같지 않냐?,,
,"달리기용 암커버는 달릴 때 근육이 흔들리는 걸 막아준다더라! 아! 암커버만 착용하고 달리기를 하면 팔도 쉽게 움직일 수 있고 내 복근에도 시선을 모을 수 있을지 몰라 헉! 아무것도 아냐, 혼잣말이야!",,
,"온몸의 근육을 잘 보여주는 유니폼은 어떤 걸까 계속 고민했는데 말이야 이래저래 열심히 찾아본 결과, 수영복인 부메랑 팬츠가 최고라는 결론에 도달했다! 근데 나는 수영할 때 튜브를 써야 하니까 근육이 가려진다구-!",,
,,,
,스포츠 지식이라면 내가 좀 많이 알지-! 너한테 특별히 전수해줄게!,,
,> 검도의 방호구를 입으면 왠지 좀 멋있어 보이잖아? 싸움에 임하는 각오 때문에 그런 거야- 근데 방호구 안쪽은 꽤 냄새가 많이 나니까 다른 의미로도 각오가 필요하지!,,
,> 수영의 자유형은 아무렇게나 수영해도 된다는 소리가 아냐! 자유라고 하길래 대회에서 튜브를 끼고 수영했더니 엄청나게 혼났거든-!,,
,> 마라톤처럼 계속 달리다 보면 기분이 막 좋아지는데 그걸 러너스 하이라고 불러! 그리고 근육통에 점점 익숙해져서 기분이 좋아지는 걸 트레이닝 하이라고 하지! 엥? 안 그런다구?,,
,> 으응? 별로 관심 없어? 아! 아무래도 말로 듣는 것보단 몸을 직접 움직여보고 싶은 거지? 이해해-! 나도 너랑 얘기하다 보니까 운동하고 싶어서 몸이 근질거린다-! 좋았어-! 운동하러 GO-!,,
,,,
,"야, 생존하기 위해 가장 필요한 게 뭔지 아냐-?",,
,> 잘 들어! 생존에 필요한 건 잘 단련된 '대흉근'이다!,,
,"> > 강한 정신력은 강인한 육체에 깃든다! 어디서 들어본 적 있겠지?! 극한 상황에서도 꺾이지 않는 심장 즉, 가슴 주변의 근육! 이게 가장 중요하다-!",,
,> 내 얘기 그럼 잘 들어! 생존에 가장 필요한 건 잘 단련된 '상완이두근'이야!,,
,"> > 가혹한 자연 환경 속에서 무거운 걸 짊어지고 달리거나, 거친 파도 속에서 수영을 해야 하잖아? 믿을 수 있는 건 내 두 팔뿐 즉, 팔 근육이 필요하단 거지! 이게 가장 중요한 사실이라구-!",,
,> 내가 알려줄 테니까 잘 들어! 생존에서 필요한 것은 열심히 단련한 '햄스트링'이라구!,,
,"> > 먹는 햄 말고 허벅지 뒤쪽에 있는 근육 얘기하는 거야! 대자연에선 빨리 도망치는 쪽이 승자야! 즉, 다리 근육! 이게 가장 중요하지-!",,
,,,
,"사실 나 말야, 멋있는 선수 선서를 생각해 놨어! 그러니까 좀 들어줘!",,
,> 내일의 근육통에도 지지 않고! 전력을 다해 싸울 것을 선서합니다! 선수 대표! 근데 좀처럼 써먹을 기회가 없단 말이지-,,
,"> 즐거웠던 봄 소풍! 마지막까지 포기하지 않았던 운동회! 괴로웠던 마라톤 대회! 어, 어라? 뭔가 좀 다른 느낌인데",,
,"> 우리 선수 일동은 근육통을 겪으며! 스포츠맨답게! 파스를 붙일 것을 선서합니다! 아, 이럴 수가 '정정당당히' 부분을 빠뜨렸어!",,
,,,
,잘 들어! 복근이라고 다 같은 근육이 아니야! 부위에 따라서 종류가 달라!,,
,> 내가 추천하는 건 복직근! 딱 배 한가운데 있는 근육이지! 여기를 잘 단련하면 나처럼 식스팩이 생기는 것도 시간 문제야-!,,
,> 내가 추천하는 건 복횡근이야! 흔히 말하는 속 근육 중 하나지! 배에 힘을 주기만 해도 단련이 되니까 운동 초보라도 할 수 있을 거야! 가끔 방귀가 나올 때도 있지만,,
,> 내가 추천하는 건 복사근! 보통 옆구리라고 부르는 부분이야! 여기를 잘 단련하면 허리가 탄탄해져서 완전 멋있다구! 속는 셈 치고 한번 운동해봐-!,,
